生产企业,疫苗名称,供应价,省市,申报企业,原产,年份
北京科兴生物制品有限公司,流行性感冒病毒裂解疫苗,45.9,上海市,北京科兴生物制品有限公司, 国产,2018
华兰生物疫苗有限公司,流行性感冒病毒裂解疫苗,49.5,上海市,华兰生物疫苗有限公司, 国产,2018
SANOFI.PASTEUR.S.A,流行性感冒病毒裂解疫苗,55.5,上海市,深圳赛诺菲巴斯德生物制品有限公司, 国产,2018
MERCK.SHARP.DOHME.CORP.,甲型肝炎灭活疫苗,206.5,上海市,Merck.Sharp.Dohme.Corp., 进口,2018
江苏康淮生物科技有限公司,甲型肝炎灭活疫苗,85.5,上海市,江苏康淮生物科技有限公司, 国产,2018
江苏康淮生物科技有限公司,甲型肝炎灭活疫苗,95.5,上海市,江苏康淮生物科技有限公司, 国产,2018
北京科兴生物制品有限公司,甲型肝炎灭活疫苗,110.5,上海市,北京科兴生物制品有限公司, 国产,2018
浙江卫信生物药业有限公司,腮腺炎减毒活疫苗,49.5,上海市,浙江卫信生物药业有限公司, 国产,2018
北京智飞绿竹生物制药有限公司,b型流感嗜血杆菌结合疫苗,82.5,上海市,北京智飞绿竹生物制药有限公司, 国产,2018
兰州生物制品研究所有限责任公司,b型流感嗜血杆菌结合疫苗,70.5,上海市,兰州生物制品研究所有限责任公司, 国产,2018
玉溪沃森生物技术有限公司,b型流感嗜血杆菌结合疫苗,106.5,上海市,玉溪沃森生物技术有限公司, 国产,2018
SANOFI.PASTEUR.S.A,b型流感嗜血杆菌结合疫苗,106.3,上海市,深圳赛诺菲巴斯德生物制品有限公司, 国产,2018
辽宁成大生物股份有限公司,人用狂犬病疫苗,60.5,上海市,辽宁成大生物股份有限公司, 国产,2018
辽宁成大生物股份有限公司,人用狂犬病疫苗,47.59,上海市,辽宁成大生物股份有限公司, 国产,2018
长春长生生物科技有限责任公司,人用狂犬病疫苗,66.5,上海市,长春长生生物科技有限责任公司, 国产,2018
成都康华生物制品有限公司,人用狂犬病疫苗,284.4,上海市,成都康华生物制品有限公司, 国产,2018
CHIRON.BEHRING.VACCINES.PRIVATE.LTD.,人用狂犬病疫苗,202.5,上海市,Chiron.Behr.ing.Vaccines.Private.Ltd., 进口,2018
兰州生物制品研究所有限责任公司,口服轮状病毒活疫苗,173.5,上海市,兰州生物制品研究所有限责任公司, 国产,2018
上海联合赛尔生物工程有限公司,重组B亚单位/菌体霍乱疫苗,88.5,上海市,上海联合赛尔生物工程有限公司, 国产,2018
厦门万秦沧海生物科技有限公司,重组戊型肝炎疫苗,165.5,上海市,厦门万秦沧海生物科技有限公司, 国产,2018
中国医学科学院医学生物学研究所,肠道病毒71型灭活疫苗,173.5,上海市,中国医学科学院医学生物学研究所, 国产,2018
中国医学科学院医学生物学研究所,肠道病毒71型灭活疫苗,193.5,上海市,中国医学科学院医学生物学研究所, 国产,2018
武汉生物制品研究所有限责任公司,肠道病毒71型灭活疫苗,173.5,上海市,武汉生物制品研究所有限责任公司, 国产,2018
北京科兴生物制品有限公司,肠道病毒71型灭活疫苗,192.5,上海市,北京科兴生物制品有限公司, 国产,2018
北京民海生物科技有限公司,吸附无细胞百白破灭活脊髓灰质炎和b型流感嗜血杆菌（结合）联合疫苗,285.5,上海市,北京民海生物科技有限公司, 国产,2018
北京智飞绿竹生物制药有限公司,AC群脑膜炎球菌（结合）b型流感嗜血杆菌（结合）联合疫苗,221.5,上海市,北京智飞绿竹生物制药有限公司, 国产,2018
SANOFI.PASTEUR.S.A,吸附无细胞百白破灭活脊髓灰质炎和b型流感嗜血杆菌（结合）联合疫苗,604.5,上海市,深圳赛诺菲巴斯德生物制品有限公司, 国产,2018
华兰生物工程股份有限公司,人用狂犬病疫苗,162.24,上海市,华兰生物工程股份有限公司, 国产,2018
广东双林生物制药有限公司,人用狂犬病疫苗,168.3,上海市,广东双林生物制药有限公司, 国产,2018
山东泰邦生物制品有限公司,人用狂犬病疫苗,174.0,上海市,山东泰邦生物制品有限公司, 国产,2018
四川远大蜀阳药业股份有限公司,人用狂犬病疫苗,166.5,上海市,四川远大蜀阳药业股份有限公司, 国产,2018
成都欧林生物科技股份有限公司,吸附破伤风疫苗,163.5,上海市,成都欧林生物科技股份有限公司, 国产,2018
GLAXOSMITHKLINE.BIOLOGICALS.S.A.,双价人乳头瘤病毒吸附疫苗,585.5,上海市,GlaxoSmithKline.Biologicals.S.A., 进口,2018
MERCK.SHARP.DOHME.CORP.,四价人乳头瘤病毒疫苗,803.5,上海市,Merck.Sharp.&.Dohme.(Australia).Pty.Ltd, 进口,2018
MERCK.SHARP.DOHME.CORP.,23价肺炎球菌多糖疫苗,202.0,吉林省, 北京科园信海医药经营有限公司,国产,2017
浙江天元生物药业有限公司,ACYW135群脑膜炎球菌多糖疫苗,85.0,吉林省, 浙江天元生物药业有限公司,国产,2017
浙江天元生物药业有限公司,ACYW135群脑膜炎球菌多糖疫苗,70.0,吉林省, 浙江天元生物药业有限公司,国产,2017
北京智飞绿竹生物制药有限公司,ACYW135群脑膜炎球菌多糖疫苗,63.0,吉林省, 北京智飞绿竹生物制药有限公司,国产,2017
长春长生生物科技有限责任公司,ACYW135群脑膜炎球菌多糖疫苗,65.0,吉林省, 长春长生生物科技有限责任公司,国产,2017
成都康华生物制品有限公司,ACYW135群脑膜炎球菌多糖疫苗,48.0,吉林省, 成都康华生物制品有限公司,国产,2017
华兰生物疫苗有限公司,ACYW135群脑膜炎球菌多糖疫苗,60.0,吉林省, 华兰生物疫苗有限公司,国产,2017
玉溪沃森生物技术有限公司,ACYW135群脑膜炎球菌多糖疫苗,65.0,吉林省, 玉溪沃森生物技术有限公司,国产,2017
玉溪沃森生物技术有限公司,A群C群脑膜炎球菌多糖结合疫苗,83.0,吉林省, 玉溪沃森生物技术有限公司,国产,2017
罗益（无锡）生物制药有限公司,A群C群脑膜炎球菌多糖结合疫苗,115.0,吉林省, 罗益(无锡)生物制药有限公司,国产,2017
玉溪沃森生物技术有限公司,A群C群脑膜炎球菌多糖结合疫苗,79.0,吉林省, 玉溪沃森生物技术有限公司,国产,2017
罗益（无锡）生物制药有限公司,A群C群脑膜炎球菌多糖结合疫苗,115.0,吉林省, 罗益(无锡)生物制药有限公司,国产,2017
北京民海生物科技有限公司,b型流感嗜血杆菌结合疫苗,74.0,吉林省, 北京民海生物科技有限公司,国产,2017
北京民海生物科技有限公司,b型流感嗜血杆菌结合疫苗,85.0,吉林省, 北京民海生物科技有限公司,国产,2017
兰州生物制品研究所有限责任公司,b型流感嗜血杆菌结合疫苗,68.0,吉林省, 兰州生物制品研究所有限责任公司,国产,2017
玉溪沃森生物技术有限公司,b型流感嗜血杆菌结合疫苗,105.0,吉林省, 玉溪沃森生物技术有限公司,国产,2017
玉溪沃森生物技术有限公司,b型流感嗜血杆菌结合疫苗,82.0,吉林省, 玉溪沃森生物技术有限公司,国产,2017
北京智飞绿竹生物制药有限公司,b型流感嗜血杆菌结合疫苗,79.0,吉林省, 北京智飞绿竹生物制药有限公司,国产,2017
SANOFI.PASTEUR.S.A,b型流感嗜血杆菌结合疫苗,105.0,吉林省, 深圳赛诺菲巴斯德生物制品有限公司,国产,2017
长春长生生物科技有限责任公司,冻干甲型肝炎减毒活疫苗,60.0,吉林省, 长春长生生物科技有限责任公司,国产,2017
中国医学科学院医学生物学研究所,冻干甲型肝炎减毒活疫苗,60.0,吉林省, 中国医学科学院医学生物学研究所,国产,2017
长春长生生物科技有限责任公司,冻干甲型肝炎减毒活疫苗,60.0,吉林省, 长春生物制品研究所有限责任公司,国产,2017
江苏康淮生物科技有限公司,甲型肝炎灭活疫苗,80.0,吉林省, 江苏康淮生物科技有限公司,国产,2017
MERCK.SHARP.DOHME.CORP.,甲型肝炎灭活疫苗,201.0,吉林省, 北京科园信海医药经营有限公司,国产,2017
北京科兴生物制品有限公司,甲型肝炎灭活疫苗,108.0,吉林省, 北京科兴生物制品有限公司,国产,2017
北京科兴生物制品有限公司,甲型肝炎灭活疫苗,85.0,吉林省, 北京科兴生物制品有限公司,国产,2017
北京科兴生物制品有限公司,甲型肝炎灭活疫苗,113.0,吉林省, 北京科兴生物制品有限公司,国产,2017
北京科兴生物制品有限公司,甲型肝炎灭活疫苗,95.0,吉林省, 北京科兴生物制品有限公司,国产,2017
江苏康淮生物科技有限公司,甲型肝炎灭活疫苗,90.0,吉林省, 江苏康淮生物科技有限公司,国产,2017
上海生物制品研究所有限责任公司,水痘减毒活疫苗,136.0,吉林省, 上海生物制品研究所有限责任公司,国产,2017
长春祈健生物制品有限公司,水痘减毒活疫苗,136.0,吉林省, 长春祈健生物制品有限公司,国产,2017
长春百克生物科技股份公司,水痘减毒活疫苗,149.8,吉林省, 长春百克生物科技股份公司,国产,2017
长春长生生物科技有限责任公司,水痘减毒活疫苗,148.0,吉林省, 长春长生生物科技有限责任公司,国产,2017
长春百克生物科技股份公司,水痘减毒活疫苗,136.0,吉林省, 长春百克生物科技股份公司,国产,2017
长春长生生物科技有限责任公司,水痘减毒活疫苗,131.0,吉林省, 长春长生生物科技有限责任公司,国产,2017
武汉生物制品研究所有限责任公司,乙型脑炎减毒活疫苗,37.0,吉林省, 武汉生物制品研究所有限责任公司,国产,2017
北京科兴生物制品有限公司,甲型乙型肝炎联合疫苗,115.0,吉林省, 北京科兴生物制品有限公司,国产,2017
北京科兴生物制品有限公司,甲型乙型肝炎联合疫苗,110.0,吉林省, 北京科兴生物制品有限公司,国产,2017
兰州生物制品研究所有限责任公司,口服轮状病毒活疫苗,172.0,吉林省, 兰州生物制品研究所有限责任公司,国产,2017
上海生物制品研究所有限责任公司,流行性感冒病毒裂解疫苗,28.0,吉林省, 上海生物制品研究所有限责任公司,国产,2017
上海生物制品研究所有限责任公司,流行性感冒病毒裂解疫苗,31.0,吉林省, 上海生物制品研究所有限责任公司,国产,2017
长春长生生物科技有限责任公司,流行性感冒病毒裂解疫苗,31.0,吉林省, 长春生物制品研究所有限责任公司,国产,2017
浙江天元生物药业有限公司,流行性感冒病毒裂解疫苗,30.0,吉林省, 浙江天元生物药业有限公司,国产,2017
北京科兴生物制品有限公司,流行性感冒病毒裂解疫苗,25.0,吉林省, 北京科兴生物制品有限公司,国产,2017
北京科兴生物制品有限公司,流行性感冒病毒裂解疫苗,22.0,吉林省, 北京科兴生物制品有限公司,国产,2017
长春长生生物科技有限责任公司,流行性感冒病毒裂解疫苗,54.0,吉林省, 长春长生生物科技有限责任公司,国产,2017
华兰生物疫苗有限公司,流行性感冒病毒裂解疫苗,28.0,吉林省, 华兰生物疫苗有限公司,国产,2017
长春长生生物科技有限责任公司,流行性感冒病毒裂解疫苗,48.0,吉林省, 长春长生生物科技有限责任公司,国产,2017
SANOFI.PASTEUR.S.A,流行性感冒病毒裂解疫苗,41.0,吉林省, 深圳赛诺菲巴斯德生物制品有限公司,国产,2017
SANOFI.PASTEUR.S.A,流行性感冒病毒裂解疫苗,58.0,吉林省, 深圳赛诺菲巴斯德生物制品有限公司,国产,2017
长春长生生物科技有限责任公司,流行性感冒病毒裂解疫苗,51.0,吉林省, 长春长生生物科技有限责任公司,国产,2017
华兰生物疫苗有限公司,流行性感冒病毒裂解疫苗,49.0,吉林省, 华兰生物疫苗有限公司,国产,2017
华兰生物疫苗有限公司,流行性感冒病毒裂解疫苗,41.0,吉林省, 华兰生物疫苗有限公司,国产,2017
长春长生生物科技有限责任公司,流行性感冒病毒裂解疫苗,45.0,吉林省, 长春长生生物科技有限责任公司,国产,2017
北京科兴生物制品有限公司,流行性感冒病毒裂解疫苗,42.0,吉林省, 北京科兴生物制品有限公司,国产,2017
台湾国光生物科技股份有限公司,流行性感冒病毒裂解疫苗,128.0,吉林省, 杭州诚丰生物医药有限公司,国产,2017
北京科兴生物制品有限公司,流行性感冒病毒裂解疫苗,36.0,吉林省, 北京科兴生物制品有限公司,国产,2017
浙江天元生物药业有限公司,流行性感冒病毒裂解疫苗,50.0,吉林省, 浙江天元生物药业有限公司,国产,2017
长春长生生物科技有限责任公司,流行性感冒病毒裂解疫苗,53.0,吉林省, 长春生物制品研究所有限责任公司,国产,2017
长春长生生物科技有限责任公司,流行性感冒病毒裂解疫苗,44.0,吉林省, 长春生物制品研究所有限责任公司,国产,2017
上海生物制品研究所有限责任公司,流行性感冒病毒裂解疫苗,47.0,吉林省, 上海生物制品研究所有限责任公司,国产,2017
上海生物制品研究所有限责任公司,流行性感冒病毒裂解疫苗,53.0,吉林省, 上海生物制品研究所有限责任公司,国产,2017
科兴（大连）疫苗技术有限公司,腮腺炎减毒活疫苗,44.0,吉林省, 科兴(大连)疫苗技术有限公司,国产,2017
浙江卫信生物药业有限公司,腮腺炎减毒活疫苗,220.0,吉林省, 浙江卫信生物药业有限公司,国产,2017
北京民海生物科技有限公司,麻疹风疹联合减毒活疫苗,42.0,吉林省, 北京民海生物科技有限公司,国产,2017
上海生物制品研究所有限责任公司,麻疹腮腺炎联合减毒活疫苗,68.0,吉林省, 上海生物制品研究所有限责任公司,国产,2017
上海生物制品研究所有限责任公司,麻腮风联合减毒活疫苗,76.0,吉林省, 上海生物制品研究所有限责任公司,国产,2017
北京北生研生物制品有限公司,麻腮风联合减毒活疫苗,76.0,吉林省, 北京北生研生物制品有限公司,国产,2017
辽宁成大生物股份有限公司,人用狂犬病疫苗,220.0,吉林省, 辽宁成大生物股份有限公司,国产,2017
长春长生生物科技有限责任公司,人用狂犬病疫苗,270.0,吉林省, 长春长生生物科技有限责任公司,国产,2017
宁波荣安生物药业有限公司,人用狂犬病疫苗,253.5,吉林省, 宁波荣安生物药业有限公司,国产,2017
广州诺诚生物制品股份有限公司,人用狂犬病疫苗,53.0,吉林省, 广州诺诚生物制品股份有限公司,国产,2017
吉林迈丰生物药业有限公司,人用狂犬病疫苗,245.0,吉林省, 吉林迈丰生物药业有限公司,国产,2017
成都康华生物制品有限公司,人用狂犬病疫苗,275.0,吉林省, 成都康华生物制品有限公司,国产,2017
河南远大生物制药有限公司,人用狂犬病疫苗,议价失败,吉林省, 河南远大生物制药有限公司,国产,2017
中科生物制药股份有限公司,人用狂犬病疫苗,238.0,吉林省, 中科生物制药股份有限公司,国产,2017
武汉生物制品研究所有限责任公司,伤寒vi多糖疫苗,350.0,吉林省, 武汉生物制品研究所有限责任公司,国产,2017
罗益（无锡）生物制药有限公司,双价肾综合征出血热灭活疫苗,80.0,吉林省, 罗益(无锡)生物制药有限公司,国产,2017
浙江卫信生物药业有限公司,双价肾综合征出血热灭活疫苗,200.0,吉林省, 浙江卫信生物药业有限公司,国产,2017
北京民海生物科技有限公司,吸附无细胞百白破灭活脊髓灰质炎和b型流感嗜血杆菌（结合）联合疫苗,285.0,吉林省, 北京民海生物科技有限公司,国产,2017
SANOFI.PASTEUR.S.A,吸附无细胞百白破灭活脊髓灰质炎和b型流感嗜血杆菌（结合）联合疫苗,599.0,吉林省, 深圳赛诺菲巴斯德生物制品有限公司,国产,2017
SANOFI.PASTEUR.S.A,吸附无细胞百白破灭活脊髓灰质炎和b型流感嗜血杆菌（结合）联合疫苗,599.0,吉林省, 国药控股股份有限公司,国产,2017
厦门万泰沧海生物技术有限公司,重组戊型肝炎疫苗,160.0,吉林省, 厦门万泰沧海生物技术有限公司,国产,2017
华北制药金坦生物技术股份有限公司,重组乙型肝炎疫苗,90.0,吉林省, 华北制药金坦生物技术股份有限公司,国产,2017
华北制药金坦生物技术股份有限公司,重组乙型肝炎疫苗,80.0,吉林省, 华北制药金坦生物技术股份有限公司,国产,2017
华北制药金坦生物技术股份有限公司,重组乙型肝炎疫苗,85.0,吉林省, 华北制药金坦生物技术股份有限公司,国产,2017
大连汉信生物制药有限公司,重组乙型肝炎疫苗,71.0,吉林省, 大连汉信生物制药有限公司,国产,2017
大连汉信生物制药有限公司,重组乙型肝炎疫苗,47.0,吉林省, 大连汉信生物制药有限公司,国产,2017
华兰生物疫苗有限公司,重组乙型肝炎疫苗,41.0,吉林省, 华兰生物疫苗有限公司,国产,2017
华兰生物疫苗有限公司,重组乙型肝炎疫苗,13.5,吉林省, 华兰生物疫苗有限公司,国产,2017
大连汉信生物制药有限公司,重组乙型肝炎疫苗,73.0,吉林省, 大连汉信生物制药有限公司,国产,2017
大连汉信生物制药有限公司,重组乙型肝炎疫苗,88.0,吉林省, 大连汉信生物制药有限公司,国产,2017
深圳康泰生物制品股份有限公司,重组乙型肝炎疫苗,45.0,吉林省, 深圳康泰生物制品股份有限公司,国产,2017
上海葛兰素史克生物制品有限公司,重组乙型肝炎疫苗,80.0,吉林省, 上海葛兰素史克生物制品有限公司,国产,2017
上海葛兰素史克生物制品有限公司,重组乙型肝炎疫苗,72.0,吉林省, 上海葛兰素史克生物制品有限公司,国产,2017
上海葛兰素史克生物制品有限公司,重组乙型肝炎疫苗,89.0,吉林省, 上海葛兰素史克生物制品有限公司,国产,2017
北京北生研生物制品有限公司,重组乙型肝炎疫苗,108.0,吉林省, 北京北生研生物制品有限公司,国产,2017
深圳康泰生物制品股份有限公司,重组乙型肝炎疫苗,75.0,吉林省, 深圳康泰生物制品股份有限公司,国产,2017
深圳康泰生物制品股份有限公司,重组乙型肝炎疫苗,70.0,吉林省, 深圳康泰生物制品股份有限公司,国产,2017
深圳康泰生物制品股份有限公司,重组乙型肝炎疫苗,225.0,吉林省, 深圳康泰生物制品股份有限公司,国产,2017
北京智飞绿竹生物制药有限公司,AC群脑膜炎球菌（结合）b型流感嗜血杆菌（结合）联合疫苗,216.0,吉林省, 北京智飞绿竹生物制药有限公司,国产,2017
北京科兴生物制品有限公司,肠道病毒71型灭活疫苗,188.0,吉林省, 北京科兴生物制品有限公司,国产,2017
北京科兴生物制品有限公司,肠道病毒71型灭活疫苗,168.0,吉林省, 北京科兴生物制品有限公司,国产,2017
中国医学科学院医学生物学研究所,肠道病毒71型灭活疫苗,168.0,吉林省, 中国医学科学院医学生物学研究所,国产,2017
中国医学科学院医学生物学研究所,肠道病毒71型灭活疫苗,188.0,吉林省, 中国医学科学院医学生物学研究所,国产,2017
长春长生生物科技有限责任公司,森林脑炎灭活疫苗,336.0,吉林省, 长春生物制品研究所有限责任公司,国产,2017
北京智飞绿竹生物制药有限公司,A群C群脑膜炎球菌多糖结合疫苗,77.0,吉林省, 北京智飞绿竹生物制药有限公司,国产,2017
辽宁成大生物股份有限公司,人用狂犬病疫苗,180.0,吉林省, 辽宁成大生物股份有限公司,国产,2017
辽宁成大生物股份有限公司,人用狂犬病疫苗,65.0,吉林省, 辽宁成大生物股份有限公司,国产,2017
长春长生生物科技有限责任公司,人用狂犬病疫苗,59.0,吉林省, 长春长生生物科技有限责任公司,国产,2017
辽宁成大生物股份有限公司,乙型脑炎灭活疫苗,700.0,吉林省, 辽宁成大生物股份有限公司,国产,2017
北京北生研生物制品有限公司,黄热病减毒活疫苗,160.0,吉林省, 北京北生研生物制品有限公司,国产,2017
深圳康泰生物制品股份有限公司,重组乙型肝炎疫苗,220.0,四川省,深圳康泰生物制品股份有限公司,国产,2017
深圳康泰生物制品股份有限公司,重组乙型肝炎疫苗,23.0,四川省,深圳康泰生物制品股份有限公司,国产,2017
深圳康泰生物制品股份有限公司,重组乙型肝炎疫苗,42.0,四川省,深圳康泰生物制品股份有限公司,国产,2017
深圳康泰生物制品股份有限公司,重组乙型肝炎疫苗,65.0,四川省,深圳康泰生物制品股份有限公司,国产,2017
辽宁成大生物股份有限公司,人用狂犬病疫苗,42.09,四川省,辽宁成大生物股份有限公司,国产,2017
辽宁成大生物股份有限公司,人用狂犬病疫苗,64.5,四川省,辽宁成大生物股份有限公司,国产,2017
辽宁成大生物股份有限公司,乙型脑炎灭活疫苗,69.0,四川省,辽宁成大生物股份有限公司,国产,2017
辽宁成大生物股份有限公司,乙型脑炎灭活疫苗,69.0,四川省,辽宁成大生物股份有限公司,国产,2017
中科生物制药股份有限公司,人用狂犬病疫苗,43.6,四川省,中科生物制药股份有限公司,国产,2017
北京科兴生物制品有限公司,甲型肝炎灭活疫苗,98.0,四川省,北京科兴生物制品有限公司,国产,2017
北京科兴生物制品有限公司,甲型肝炎灭活疫苗,90.0,四川省,北京科兴生物制品有限公司,国产,2017
北京科兴生物制品有限公司,甲型乙型肝炎联合疫苗,105.0,四川省,北京科兴生物制品有限公司,国产,2017
北京科兴生物制品有限公司,甲型乙型肝炎联合疫苗,110.0,四川省,北京科兴生物制品有限公司,国产,2017
北京科兴生物制品有限公司,流行性感冒病毒裂解疫苗,23.0,四川省,北京科兴生物制品有限公司,国产,2017
科园信海（北京）医疗用品贸易有限公司,23价肺炎球菌多糖疫苗,200.0,四川省,北京科园信海医药经营有限公司,进口,2017
北京科兴生物制品有限公司,流行性感冒病毒裂解疫苗,39.0,四川省,北京科兴生物制品有限公司,国产,2017
科园信海（北京）医疗用品贸易有限公司,甲型肝炎灭活疫苗,199.0,四川省,北京科园信海医药经营有限公司,进口,2017
北京科兴生物制品有限公司,肠道病毒71型灭活疫苗,188.0,四川省,北京科兴生物制品有限公司,国产,2017
北京科兴生物制品有限公司,甲型肝炎灭活疫苗,76.6,四川省,北京科兴生物制品有限公司,国产,2017
北京科兴生物制品有限公司,甲型肝炎灭活疫苗,105.0,四川省,北京科兴生物制品有限公司,国产,2017
北京科兴生物制品有限公司,流行性感冒病毒裂解疫苗,22.0,四川省,北京科兴生物制品有限公司,国产,2017
北京科兴生物制品有限公司,流行性感冒病毒裂解疫苗,36.0,四川省,北京科兴生物制品有限公司,国产,2017
北京科兴生物制品有限公司,肠道病毒71型灭活疫苗,168.0,四川省,北京科兴生物制品有限公司,国产,2017
上海联合赛尔生物工程有限公司,重组B亚单位/菌体霍乱疫苗,195.0,四川省,上海联合赛尔生物工程有限公司,国产,2017
上海联合赛尔生物工程有限公司,重组B亚单位/菌体霍乱疫苗,249.0,四川省,上海联合赛尔生物工程有限公司,国产,2017
北京智飞绿竹生物制药有限公司,ACYW135群脑膜炎球菌多糖疫苗,59.0,四川省,北京智飞绿竹生物制药有限公司,国产,2017
北京智飞绿竹生物制药有限公司,A群C群脑膜炎球菌多糖结合疫苗,63.0,四川省,北京智飞绿竹生物制药有限公司,国产,2017
科园信海（北京）医疗用品贸易有限公司,人用狂犬病疫苗,197.0,四川省,科园信海（北京）医疗用品贸易有限公司,进口,2017
国药控股股份有限公司,吸附无细胞百白破灭活脊髓灰质炎和b型流感嗜血杆菌（结合）联合疫苗,599.0,四川省,国药控股股份有限公司,进口,2017
华兰生物疫苗有限公司,流行性感冒病毒裂解疫苗,25.0,四川省,华兰生物疫苗有限公司,国产,2017
华兰生物疫苗有限公司,流行性感冒病毒裂解疫苗,41.0,四川省,华兰生物疫苗有限公司,国产,2017
华兰生物疫苗有限公司,重组乙型肝炎疫苗,13.5,四川省,华兰生物疫苗有限公司,国产,2017
华兰生物疫苗有限公司,ACYW135群脑膜炎球菌多糖疫苗,58.0,四川省,华兰生物疫苗有限公司,国产,2017
华兰生物疫苗有限公司,流行性感冒病毒裂解疫苗,46.5,四川省,华兰生物疫苗有限公司,国产,2017
长春长生生物科技有限责任公司,人用狂犬病疫苗,53.0,四川省,长春长生生物科技有限责任公司,国产,2017
长春长生生物科技有限责任公司,水痘减毒活疫苗,148.0,四川省,长春长生生物科技有限责任公司,国产,2017
长春长生生物科技有限责任公司,ACYW135群脑膜炎球菌多糖疫苗,60.0,四川省,长春长生生物科技有限责任公司,国产,2017
长春长生生物科技有限责任公司,流行性感冒病毒裂解疫苗,45.0,四川省,长春长生生物科技有限责任公司,国产,2017
长春长生生物科技有限责任公司,流行性感冒病毒裂解疫苗,24.0,四川省,长春长生生物科技有限责任公司,国产,2017
长春长生生物科技有限责任公司,流行性感冒病毒裂解疫苗,49.0,四川省,长春长生生物科技有限责任公司,国产,2017
长春长生生物科技有限责任公司,冻干甲型肝炎减毒活疫苗,55.0,四川省,长春长生生物科技有限责任公司,国产,2017
长春长生生物科技有限责任公司,人用狂犬病疫苗,62.0,四川省,长春长生生物科技有限责任公司,国产,2017
长春长生生物科技有限责任公司,水痘减毒活疫苗,131.0,四川省,长春长生生物科技有限责任公司,国产,2017
长春长生生物科技有限责任公司,流行性感冒病毒裂解疫苗,27.0,四川省,长春长生生物科技有限责任公司,国产,2017
成都生物制品研究所有限责任公司,23价肺炎球菌多糖疫苗,182.0,四川省,成都生物制品研究所有限责任公司,国产,2017
